id,question,gold_uri,surface_form,redis_top1,found_correct,redis_score
22,Identify the directors of movies where Steven Spielberg was ,Steven_Spielberg,Steven Spielberg,Steven_Spielberg,True,1.0
24,Where was J.K. Rowling and Ghadam-Ali Sarami born?,J._K._Rowling,J. K. Rowling,J._K._Rowling,True,1.0
24,Where was J.K. Rowling and Ghadam-Ali Sarami born?,Ghadam-Ali_Sarami,Ghadam-Ali Sarami,Ghadam-Ali_Sarami,True,1.0
25,How many movies are directed by Christopher Nolan?,Christopher_Nolan,Christopher Nolan,Christopher_Nolan,True,1.0
26,Who were the commanders at the Battle of Gettysburg?,Battle_of_Gettysburg,Battle of Gettysburg,Battle_of_Gettysburg,True,1.0
27,Who is the director of Casablanca?,Casablanca_(film),Casablanca film,NO RESULT,False,0.0
29,Is the IEEE Intelligent Systems Journal about Artificial Int,IEEE_Intelligent_Systems,IEEE Intelligent Systems,IEEE_Intelligent_Systems,True,1.0
29,Is the IEEE Intelligent Systems Journal about Artificial Int,Artificial_intelligence,Artificial intelligence,Artificial_intelligence,True,1.0
31,Which books are illustrated by Quentin Blake?,Quentin_Blake,Quentin Blake,Quentin_Blake,True,1.0
32,Who were the managers of the squad located at Old Trafford?,Old_Trafford,Old Trafford,Old_Trafford,True,1.0
33,How many books have been authored by J.K. Rowling?,J._K._Rowling,J. K. Rowling,J._K._Rowling,True,1.0
34,Who directed the south park episode that precedes Butter's V,Butters'_Very_Own_Episode,Butters' Very Own Episode,Butters'_Very_Own_Episode,True,1.0
35,"Which political parties have governed over Varanasi, and is ",Narendra_Modi,Narendra Modi,Narendra_Modi,True,1.0
35,"Which political parties have governed over Varanasi, and is ",Varanasi,Varanasi,Varanasi,True,1.0
36,What is the associated band of the musical artist who is the,Kind_of_Blue,Kind of Blue,Kind_of_Blue,True,1.0
37,Which was the origin of The Beatles?,The_Beatles,The Beatles,The_Beatles,True,1.0
39,List rivers flowing through the admin region bordering the P,Pacific_Ocean,Pacific Ocean,Pacific_Ocean,True,1.0
40,Identify the universities affiliated with the University of ,University_of_California,University of California,University_of_California,True,1.0
40,Identify the universities affiliated with the University of ,California,California,California,True,1.0
41,Which companies are located in Silicon Valley?,Silicon_Valley,Silicon Valley,Silicon_Valley,True,1.0
43,Which place has Geneva and Carouge as its neighboring munici,Geneva,Geneva,Geneva,True,1.0
43,Which place has Geneva and Carouge as its neighboring munici,Carouge,Carouge,Carouge,True,1.0
44,What are the capitals of countries governed by a parliamenta,Parliamentary_republic,Parliamentary republic,Parliamentary_republic,True,1.0
45,When did the Apollo 11 mission land on the moon?,Apollo_11,Apollo 11,Apollo_11,True,1.0
47,Where did the office holder who is predecessor to Margaret T,Margaret_Thatcher,Margaret Thatcher,Margaret_Thatcher,True,1.0
48,Where did Bill Gates and Mark Zuckerberg go to school?,Bill_Gates,Bill Gates,Bill_Gates,True,1.0
48,Where did Bill Gates and Mark Zuckerberg go to school?,Mark_Zuckerberg,Mark Zuckerberg,Mark_Zuckerberg,True,1.0
49,Is The Star-Spangled Banner the national anthem of the Unite,United_States,United States,United_States,True,1.0
49,Is The Star-Spangled Banner the national anthem of the Unite,The_Star-Spangled_Banner,The Star-Spangled Banner,The_Star-Spangled_Banner,True,1.0
50,Was Edmund Hillary the first person to reach the summit of M,Mount_Everest,Mount Everest,Mount_Everest,True,1.0
50,Was Edmund Hillary the first person to reach the summit of M,Edmund_Hillary,Edmund Hillary,Edmund_Hillary,True,1.0
51,Who has been married to both Nicole Kidman and Katie Holmes?,Nicole_Kidman,Nicole Kidman,Nicole_Kidman,True,1.0
51,Who has been married to both Nicole Kidman and Katie Holmes?,Katie_Holmes,Katie Holmes,Katie_Holmes,True,1.0
52,Are Australian former Prime Ministers Julia Gillard and Kevi,Julia_Gillard,Julia Gillard,Julia_Gillard,True,1.0
52,Are Australian former Prime Ministers Julia Gillard and Kevi,Kevin_Rudd,Kevin Rudd,Kevin_Rudd,True,1.0
53,Which organizations have their headquarters located in New Y,New_York_City,New York City,New_York_City,True,1.0
54,Which people are employed by the New York Times?,The_New_York_Times,The New York Times,The_New_York_Times,True,1.0
55,Who is the director of Inception?,Inception,Inception,Inception,True,1.0
57,Which instruments are commonly used in genres that emerged f,Jazz,Jazz,Jazz,True,1.0
58,Was Emma Watson a part of Harry Potter cast?,Harry_Potter_(film_series),Harry Potter film series,Harry_Potter_(film_series),True,1.0
58,Was Emma Watson a part of Harry Potter cast?,Emma_Watson,Emma Watson,Emma_Watson,True,1.0
59,What is the capital city of the country where the famous art,Leonardo_da_Vinci,Leonardo da Vinci,Leonardo_da_Vinci,True,1.0
61,How many films did Roger Deakins work on as a cinematographe,Roger_Deakins,Roger Deakins,Roger_Deakins,True,1.0
62,Which players are or have been part of the Brazil national f,Brazil_national_football_team,Brazil national football team,Brazil_national_football_team,True,1.0
63,Who are the managers from all basketball teams which LeBron ,LeBron_James,LeBron James,LeBron_James,True,1.0
64,Which director of Inception is also the filmmaker behind The,Inception,Inception,Inception,True,1.0
64,Which director of Inception is also the filmmaker behind The,The_Dark_Knight_(film),The Dark Knight film,NO RESULT,False,0.0
65,What is the birth place of Albert Einstein?,Albert_Einstein,Albert Einstein,Albert_Einstein,True,1.0
66,How many birds are in the Chordate phylum?,Chordate,Chordate,Chordate,True,1.0
67,Who is the author of Harry Potter and the Order of the Phoen,Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,Harry_Potter_and_the_Order_of_the_Phoenix_(film),True,1.0
68,Where is the Eiffel Tower located?,Eiffel_Tower,Eiffel Tower,Eiffel_Tower,True,1.0
69,Who are some of the key people involved with the Wikimedia F,Wikimedia_Foundation,Wikimedia Foundation,Wikimedia_Foundation,True,1.0
70,How many are the Generals of the United States?,General_(United_States),General United States,NO RESULT,False,0.0
71,Who are the key figures associated with the United Nations?,United_Nations,United Nations,United_Nations,True,1.0
72,Where was the song 'Bohemian Rhapsody' recorded?,Bohemian_Rhapsody,Bohemian Rhapsody,Bohemian_Rhapsody,True,1.0
73,What is the capital city of the state of California?,California,California,California,True,1.0
74,Who are the authors of books written about the Battle of Sta,Battle_of_Stalingrad,Battle of Stalingrad,Battle_of_Stalingrad,True,1.0
75,Is the Louvre Museum located in Paris?,Louvre,Louvre,Louvre,True,1.0
79,Identify the birthplace of Nikola Tesla?,Nikola_Tesla,Nikola Tesla,Nikola_Tesla,True,1.0
81,What are the places where rivers that flow into the Black Se,Black_Sea,Black Sea,Black_Sea,True,1.0
82,How many games (or DLCs) by Blizzard Entertainment are part ,Blizzard_Entertainment,Blizzard Entertainment,Blizzard_Entertainment,True,1.0
82,How many games (or DLCs) by Blizzard Entertainment are part ,Warcraft,Warcraft,Warcraft,True,1.0
83,What are the alternate names of the child from Aung San Suu ,Aung_San_Suu_Kyi,Aung San Suu Kyi,Aung_San_Suu_Kyi,True,1.0
85,Who is the wife of Tom Hanks?,Tom_Hanks,Tom Hanks,Tom_Hanks,True,1.0
86,What are the occupations of the Wikipedia authors?,Wikipedia,Wikipedia,Wikipedia,True,1.0
87,Which companies have employed graduates from Stanford Univer,Stanford_University,Stanford University,Stanford_University,True,1.0
88,Which book has author as J.K. Rowling?,J._K._Rowling,J. K. Rowling,J._K._Rowling,True,1.0
89,How many books were authored by J.K. Rowling?,J._K._Rowling,J. K. Rowling,J._K._Rowling,True,1.0
90,Where was the predecessor of Irina Bokova born?,Irina_Bokova,Irina Bokova,Irina_Bokova,True,1.0
91,How many films were recorded by the cinematographer of 'Ince,Inception,Inception,Inception,True,1.0
92,What are the capital cities from the countries where Mount E,Mount_Everest,Mount Everest,Mount_Everest,True,1.0
93,Is there a university whose campuses are New York and Califo,New_York,New York,New_York_(state),True,1.0
93,Is there a university whose campuses are New York and Califo,California,California,California,True,1.0
94,Do the University of Georgia and the Atlanta Falcons have th,University_of_Georgia,University of Georgia,University_of_Georgia,True,1.0
94,Do the University of Georgia and the Atlanta Falcons have th,Atlanta_Falcons,Atlanta Falcons,Atlanta_Falcons,True,1.0
95,Which notable figures are buried in Père Lachaise Cemetery?,Père_Lachaise_Cemetery,Père Lachaise Cemetery,Père_Lachaise_Cemetery,True,1.0
97,Which rivers originates from the Rocky Mountains?,Rocky_Mountains,Rocky Mountains,Rocky_Mountains,True,1.0
98,What are the regions served by FedEx?,FedEx,FedEx,FedEx,True,1.0
99,What is the city and country of the Michelin company headqua,Michelin,Michelin,Michelin,True,1.0
99,What is the city and country of the Michelin company headqua,Michelin,Michelin,Michelin,True,1.0
100,All book authors born in Paris?,Paris,Paris,Paris,True,1.0
